dialogue_id,turn,misc,family
0,turn 1,not_evidenced,C
0,turn 2,absent,C
1,turn 1,absent,C
1,turn 2,absent,C
1,turn 3,present,C
1,turn 4,present,C
1,turn 5,present,C
1,turn 6,present,C
1,turn 7,present,C
1,turn 8,present,C
1,turn 9,present,C
1,turn 10,present,C
2,turn 1,absent,E
2,turn 2,not_evidenced,E
2,turn 3,absent,E
2,turn 4,absent,E
3,turn 1,not_evidenced,D
3,turn 2,absent,D
3,turn 3,not_evidenced,D
3,turn 4,not_evidenced,D
3,turn 5,absent,D
4,turn 1,present,B
4,turn 2,absent,B
4,turn 3,present,B
4,turn 4,absent,B
4,turn 5,present,B
4,turn 6,absent,B
5,turn 1,present,E
5,turn 2,present,E
5,turn 3,absent,E
6,turn 1,present,F
6,turn 2,present,F
6,turn 3,absent,F
6,turn 4,absent,F
6,turn 5,absent,F
6,turn 6,present,F
6,turn 7,present,F
6,turn 8,present,F
6,turn 9,absent,F
7,turn 1,present,F
7,turn 2,present,F
7,turn 3,present,F
7,turn 4,present,F
7,turn 5,absent,F
7,turn 6,present,F
7,turn 7,present,F
7,turn 8,absent,F
8,turn 1,present,E
8,turn 2,not_evidenced,E
8,turn 3,absent,E
9,turn 1,present,C
9,turn 2,absent,C
9,turn 3,present,C
9,turn 4,present,C
9,turn 5,absent,C
9,turn 6,present,C
9,turn 7,present,C
9,turn 8,present,C
9,turn 9,absent,C
10,turn 1,present,F
10,turn 2,not_evidenced,F
10,turn 3,present,F
10,turn 4,present,F
10,turn 5,not_evidenced,F
10,turn 6,absent,F
10,turn 7,absent,F
11,turn 1,present,E
11,turn 2,present,E
11,turn 3,present,E
11,turn 4,present,E
11,turn 5,present,E
12,turn 1,not_evidenced,E
12,turn 2,present,E
12,turn 3,not_evidenced,E
12,turn 4,not_evidenced,E
12,turn 5,present,E
12,turn 6,absent,E
12,turn 7,not_evidenced,E
13,turn 1,not_evidenced,B
13,turn 2,absent,B
13,turn 3,absent,B
14,turn 1,present,D
14,turn 2,absent,D
14,turn 3,absent,D
15,turn 1,present,D
15,turn 2,present,D
15,turn 3,present,D
15,turn 4,absent,D
15,turn 5,present,D
15,turn 6,absent,D
15,turn 7,present,D
15,turn 8,present,D
15,turn 9,present,D
15,turn 10,present,D
15,turn 11,present,D
15,turn 12,present,D
15,turn 13,not_evidenced,D
15,turn 14,absent,D
15,turn 15,absent,D
15,turn 16,absent,D
15,turn 17,present,D
15,turn 18,present,D
15,turn 19,present,D
15,turn 20,present,D
15,turn 21,present,D
16,turn 1,present,B
16,turn 2,not_evidenced,B
16,turn 3,absent,B
16,turn 4,present,B
16,turn 5,present,B
16,turn 6,absent,B
16,turn 7,present,B
16,turn 8,absent,B
17,turn 1,present,F
17,turn 2,present,F
17,turn 3,present,F
17,turn 4,present,F
17,turn 5,absent,F
17,turn 6,present,F
17,turn 7,present,F
17,turn 8,present,F
17,turn 9,present,F
17,turn 10,absent,F
18,turn 1,present,A
18,turn 2,absent,A
19,turn 1,present,A
19,turn 2,not_evidenced,A
19,turn 3,present,A
19,turn 4,not_evidenced,A
19,turn 5,not_evidenced,A
19,turn 6,not_evidenced,A
19,turn 7,absent,A
20,turn 1,present,B
20,turn 2,absent,B
20,turn 3,present,B
20,turn 4,present,B
20,turn 5,absent,B
21,turn 1,present,C
21,turn 2,present,C
21,turn 3,absent,C
21,turn 4,absent,C
21,turn 5,not_evidenced,C
22,turn 1,present,E
22,turn 2,present,E
22,turn 3,not_evidenced,E
22,turn 4,not_evidenced,E
22,turn 5,absent,E
23,turn 1,present,E
23,turn 2,present,E
23,turn 3,present,E
23,turn 4,absent,E
23,turn 5,not_evidenced,E
24,turn 1,present,B
24,turn 2,absent,B
24,turn 3,absent,B
24,turn 4,absent,B
24,turn 5,absent,B
24,turn 6,not_evidenced,B
25,turn 1,present,D
25,turn 2,present,D
25,turn 3,absent,D
26,turn 1,present,A
26,turn 2,absent,A
27,turn 1,present,B
27,turn 2,present,B
27,turn 3,not_evidenced,B
27,turn 4,absent,B
27,turn 5,not_evidenced,B
27,turn 6,not_evidenced,B
27,turn 7,not_evidenced,B
28,turn 1,absent,C
28,turn 2,not_evidenced,C
29,turn 1,present,D
29,turn 2,present,D
29,turn 3,absent,D
29,turn 4,absent,D
29,turn 5,absent,D
29,turn 6,absent,D
29,turn 7,present,D
29,turn 8,absent,D
30,turn 1,present,A
30,turn 2,present,A
30,turn 3,absent,A
31,turn 1,absent,C
31,turn 2,absent,C
31,turn 3,present,C
31,turn 4,absent,C
32,turn 1,present,D
32,turn 2,absent,D
32,turn 3,absent,D
33,turn 1,present,A
33,turn 2,present,A
33,turn 3,present,A
33,turn 4,present,A
33,turn 5,present,A
34,turn 1,present,A
34,turn 2,not_evidenced,A
34,turn 3,present,A
34,turn 4,present,A
34,turn 5,present,A
34,turn 6,present,A
35,turn 1,present,B
35,turn 2,present,B
35,turn 3,not_evidenced,B
36,turn 1,present,E
36,turn 2,absent,E
37,turn 1,present,D
37,turn 2,present,D
37,turn 3,present,D
37,turn 4,not_evidenced,D
38,turn 1,absent,C
38,turn 2,not_evidenced,C
38,turn 3,present,C
38,turn 4,absent,C
39,turn 1,not_evidenced,D
39,turn 2,present,D
39,turn 3,present,D
39,turn 4,present,D
39,turn 5,present,D
39,turn 6,present,D
39,turn 7,present,D
39,turn 8,present,D
39,turn 9,absent,D
40,turn 1,not_evidenced,F
40,turn 2,not_evidenced,F
40,turn 3,present,F
40,turn 4,absent,F
40,turn 5,present,F
40,turn 6,present,F
40,turn 7,present,F
40,turn 8,present,F
40,turn 9,present,F
40,turn 10,present,F
40,turn 11,present,F
42,turn 1,present,D
42,turn 2,not_evidenced,D
42,turn 3,absent,D
42,turn 4,absent,D
42,turn 5,absent,D
43,turn 1,present,B
43,turn 2,not_evidenced,B
43,turn 3,absent,B
43,turn 4,absent,B
43,turn 5,absent,B
43,turn 6,absent,B
43,turn 7,absent,B
43,turn 8,absent,B
43,turn 9,absent,B
43,turn 10,not_evidenced,B
44,turn 1,present,A
44,turn 2,present,A
44,turn 3,absent,A
44,turn 4,present,A
44,turn 5,present,A
44,turn 6,absent,A
44,turn 7,absent,A
45,turn 1,present,D
45,turn 2,not_evidenced,D
45,turn 3,not_evidenced,D
45,turn 4,absent,D
45,turn 5,absent,D
45,turn 6,absent,D
45,turn 7,not_evidenced,D
46,turn 1,present,F
46,turn 2,absent,F
46,turn 3,present,F
46,turn 4,present,F
46,turn 5,present,F
46,turn 6,absent,F
46,turn 7,not_evidenced,F
47,turn 1,present,C
47,turn 2,absent,C
47,turn 3,not_evidenced,C
47,turn 4,absent,C
47,turn 5,present,C
47,turn 6,not_evidenced,C
47,turn 7,not_evidenced,C
48,turn 1,absent,F
48,turn 2,present,F
48,turn 3,present,F
48,turn 4,present,F
48,turn 5,present,F
48,turn 6,absent,F
48,turn 7,absent,F
49,turn 1,present,B
49,turn 2,present,B
49,turn 3,absent,B
49,turn 4,absent,B
50,turn 1,present,D
50,turn 2,absent,D
50,turn 3,absent,D
50,turn 4,absent,D
50,turn 5,absent,D
