protocol,model,n,dialogues,accuracy,auc,f1,log_loss,brier,observed_correct_rate,predicted_positive_rate,mean_probability
all_real_turns,original_bkt,2500,515,0.598,0.6277869147631996,0.5570736007051564,0.6648455137775371,0.23623595604946104,0.4596,0.448,0.49214071280655225
paper_matched_R2_plus,original_bkt,1985,515,0.6050377833753149,0.6401837524177949,0.5555555555555556,0.6603981021579849,0.2340625782897354,0.473551637279597,0.4151133501259446,0.48618093821700975
first_real_turn_R1,original_bkt,515,515,0.570873786407767,0.620485036119711,0.5623762376237624,0.6819874789519277,0.24461295576413175,0.4058252427184466,0.574757281553398,0.5151118828264392
all_real_turns,unprotected_solution_bkt,2500,515,0.5312,0.584293361008414,0.5936199722607489,0.6898913544145022,0.24795735136219718,0.4596,0.694,0.5099106487342555
paper_matched_R2_plus,unprotected_solution_bkt,1985,515,0.5088161209068011,0.5639901252163291,0.6063786838918046,0.6953735886515529,0.25054575924153233,0.473551637279597,0.7743073047858942,0.5177076004116858
first_real_turn_R1,unprotected_solution_bkt,515,515,0.6174757281553398,0.61735778841042,0.515970515970516,0.6687608010930542,0.23798067244864327,0.4058252427184466,0.3844660194174757,0.4798583204241598
all_real_turns,inference_only_solution_update,2500,515,0.58,0.6134694411321531,0.3445692883895131,0.6728419845380308,0.23994256551473614,0.4596,0.1812,0.4338111889723356
paper_matched_R2_plus,inference_only_solution_update,1985,515,0.5748110831234257,0.6212088974854932,0.38929088277858176,0.6745938863639509,0.2407960176302069,0.473551637279597,0.22267002518891688,0.4336345559267782
first_real_turn_R1,inference_only_solution_update,515,515,0.6,0.6031131750945993,0.06363636363636363,0.6660895085682222,0.23665304619588295,0.4058252427184466,0.021359223300970873,0.4344919978955035
all_real_turns,hard_floor_005,2500,515,0.5336,0.5878964039788727,0.5931612002791347,0.688998802912988,0.2476126273193431,0.4596,0.6868,0.5071413827930961
paper_matched_R2_plus,hard_floor_005,1985,515,0.509823677581864,0.5684470121144253,0.6049533089727974,0.6941503537453305,0.2500658705878703,0.473551637279597,0.7672544080604534,0.5145231387194945
first_real_turn_R1,hard_floor_005,515,515,0.625242718446602,0.6196094067611095,0.5210918114143921,0.6691428254329876,0.23815692268239858,0.4058252427184466,0.3766990291262136,0.4786893720864924
all_real_turns,fixed_original_prior,2500,515,0.5548,0.5951849482606122,0.5664199454616283,0.6821034154012618,0.24462838100298254,0.4596,0.5672,0.4849636617960807
paper_matched_R2_plus,fixed_original_prior,1985,515,0.5340050377833753,0.5826392140893821,0.577818347786399,0.6860173896769696,0.24658824569874815,0.473551637279597,0.6302267002518892,0.49170912786293164
first_real_turn_R1,fixed_original_prior,515,515,0.6349514563106796,0.6159974356568785,0.5,0.6670175145521746,0.23707433940862366,0.4058252427184466,0.32427184466019415,0.4589641469558883
all_real_turns,shrinkage_k20,2500,515,0.538,0.5972799054821268,0.5968586387434555,0.6835932178963436,0.2453721360258841,0.4596,0.6864,0.504230407997207
paper_matched_R2_plus,shrinkage_k20,1985,515,0.5123425692695214,0.5785508500458109,0.6061838893409276,0.6874790578099612,0.24731352256641734,0.473551637279597,0.764735516372796,0.5107688557600673
first_real_turn_R1,shrinkage_k20,515,515,0.6368932038834951,0.6245660943803358,0.5405405405405406,0.6686157572584189,0.2378893160589742,0.4058252427184466,0.3844660194174757,0.479028818076279
